date,HOUST
2006-01-01,2273.0
2006-02-01,2119.0
2006-03-01,1969.0
2006-04-01,1821.0
2006-05-01,1942.0
2006-06-01,1802.0
2006-07-01,1737.0
2006-08-01,1650.0
2006-09-01,1720.0
2006-10-01,1491.0
2006-11-01,1570.0
2006-12-01,1649.0
2007-01-01,1409.0
2007-02-01,1480.0
2007-03-01,1495.0
2007-04-01,1490.0
2007-05-01,1415.0
2007-06-01,1448.0
2007-07-01,1354.0
2007-08-01,1330.0
2007-09-01,1183.0
2007-10-01,1264.0
2007-11-01,1197.0
2007-12-01,1037.0
2008-01-01,1084.0
2008-02-01,1103.0
2008-03-01,1005.0
2008-04-01,1013.0
2008-05-01,973.0
2008-06-01,1046.0
2008-07-01,923.0
2008-08-01,844.0
2008-09-01,820.0
2008-10-01,777.0
2008-11-01,652.0
2008-12-01,560.0
2009-01-01,490.0
2009-02-01,582.0
2009-03-01,505.0
2009-04-01,478.0
2009-05-01,540.0
2009-06-01,585.0
2009-07-01,594.0
2009-08-01,586.0
2009-09-01,585.0
2009-10-01,534.0
2009-11-01,588.0
2009-12-01,581.0
2010-01-01,614.0
2010-02-01,604.0
2010-03-01,636.0
2010-04-01,687.0
2010-05-01,583.0
2010-06-01,536.0
2010-07-01,546.0
2010-08-01,599.0
2010-09-01,594.0
2010-10-01,543.0
2010-11-01,545.0
2010-12-01,539.0
2011-01-01,630.0
2011-02-01,517.0
2011-03-01,600.0
2011-04-01,554.0
2011-05-01,561.0
2011-06-01,608.0
2011-07-01,623.0
2011-08-01,585.0
2011-09-01,650.0
2011-10-01,610.0
2011-11-01,711.0
2011-12-01,694.0
2012-01-01,723.0
2012-02-01,704.0
2012-03-01,695.0
2012-04-01,753.0
2012-05-01,708.0
2012-06-01,757.0
2012-07-01,740.0
2012-08-01,754.0
2012-09-01,847.0
2012-10-01,915.0
2012-11-01,833.0
2012-12-01,976.0
2013-01-01,888.0
2013-02-01,962.0
2013-03-01,1010.0
2013-04-01,835.0
2013-05-01,930.0
2013-06-01,839.0
2013-07-01,880.0
2013-08-01,917.0
2013-09-01,850.0
2013-10-01,925.0
2013-11-01,1100.0
2013-12-01,1002.0
2014-01-01,888.0
2014-02-01,944.0
2014-03-01,970.0
2014-04-01,1043.0
2014-05-01,1007.0
2014-06-01,911.0
2014-07-01,1085.0
2014-08-01,984.0
2014-09-01,1023.0
2014-10-01,1074.0
2014-11-01,1001.0
2014-12-01,1073.0
2015-01-01,1085.0
2015-02-01,886.0
2015-03-01,960.0
2015-04-01,1190.0
2015-05-01,1079.0
2015-06-01,1205.0
2015-07-01,1146.0
2015-08-01,1130.0
2015-09-01,1224.0
2015-10-01,1058.0
2015-11-01,1172.0
2015-12-01,1146.0
2016-01-01,1092.0
2016-02-01,1225.0
2016-03-01,1111.0
2016-04-01,1163.0
2016-05-01,1148.0
2016-06-01,1203.0
2016-07-01,1239.0
2016-08-01,1171.0
2016-09-01,1068.0
2016-10-01,1313.0
2016-11-01,1140.0
2016-12-01,1252.0
2017-01-01,1190.0
2017-02-01,1271.0
2017-03-01,1190.0
2017-04-01,1146.0
2017-05-01,1157.0
2017-06-01,1249.0
2017-07-01,1206.0
2017-08-01,1159.0
2017-09-01,1181.0
2017-10-01,1257.0
2017-11-01,1273.0
2017-12-01,1177.0
2018-01-01,1299.0
2018-02-01,1277.0
2018-03-01,1318.0
2018-04-01,1276.0
2018-05-01,1357.0
2018-06-01,1192.0
2018-07-01,1208.0
2018-08-01,1288.0
2018-09-01,1250.0
2018-10-01,1221.0
2018-11-01,1181.0
2018-12-01,1095.0
2019-01-01,1226.0
2019-02-01,1121.0
2019-03-01,1191.0
2019-04-01,1272.0
2019-05-01,1293.0
2019-06-01,1243.0
2019-07-01,1240.0
2019-08-01,1375.0
2019-09-01,1311.0
2019-10-01,1325.0
2019-11-01,1353.0
2019-12-01,1548.0
2020-01-01,1581.0
2020-02-01,1549.0
2020-03-01,1266.0
2020-04-01,936.0
2020-05-01,1039.0
2020-06-01,1266.0
2020-07-01,1526.0
2020-08-01,1396.0
2020-09-01,1473.0
2020-10-01,1543.0
2020-11-01,1543.0
2020-12-01,1614.0
2021-01-01,1624.0
2021-02-01,1398.0
2021-03-01,1688.0
2021-04-01,1489.0
2021-05-01,1600.0
2021-06-01,1664.0
2021-07-01,1600.0
2021-08-01,1596.0
2021-09-01,1576.0
2021-10-01,1587.0
2021-11-01,1707.0
2021-12-01,1711.0
2022-01-01,1693.0
2022-02-01,1730.0
2022-03-01,1700.0
2022-04-01,1807.0
2022-05-01,1546.0
2022-06-01,1556.0
2022-07-01,1382.0
2022-08-01,1532.0
2022-09-01,1481.0
2022-10-01,1446.0
2022-11-01,1434.0
2022-12-01,1296.0
2023-01-01,1358.0
2023-02-01,1395.0
2023-03-01,1366.0
2023-04-01,1343.0
2023-05-01,1609.0
2023-06-01,1420.0
2023-07-01,1464.0
2023-08-01,1321.0
2023-09-01,1369.0
2023-10-01,1380.0
2023-11-01,1522.0
2023-12-01,1504.0
2024-01-01,1378.0
2024-02-01,1555.0
2024-03-01,1297.0
2024-04-01,1379.0
2024-05-01,1329.0
2024-06-01,1318.0
2024-07-01,1269.0
2024-08-01,1394.0
2024-09-01,1357.0
2024-10-01,1370.0
2024-11-01,1300.0
2024-12-01,1494.0
2025-01-01,1353.0
2025-02-01,1491.0
2025-03-01,1346.0
2025-04-01,1400.0
2025-05-01,1289.0
2025-06-01,1379.0
2025-07-01,1432.0
2025-08-01,1291.0
2025-09-01,1319.0
2025-10-01,1273.0
2025-11-01,1319.0
2025-12-01,1378.0
2026-01-01,1385.0
2026-02-01,1346.0
2026-03-01,1507.0
2026-04-01,1465.0
