date,INDPRO
2006-01-01,98.1999
2006-02-01,98.2413
2006-03-01,98.4628
2006-04-01,98.7618
2006-05-01,98.7869
2006-06-01,99.0997
2006-07-01,99.0489
2006-08-01,99.4836
2006-09-01,99.3183
2006-10-01,99.2044
2006-11-01,99.1627
2006-12-01,100.1735
2007-01-01,99.8346
2007-02-01,100.7753
2007-03-01,100.9547
2007-04-01,101.6334
2007-05-01,101.7306
2007-06-01,101.7893
2007-07-01,101.6672
2007-08-01,101.863
2007-09-01,102.0894
2007-10-01,101.8015
2007-11-01,102.3446
2007-12-01,102.3803
2008-01-01,102.2448
2008-02-01,101.8438
2008-03-01,101.5336
2008-04-01,100.8785
2008-05-01,100.2674
2008-06-01,100.0335
2008-07-01,99.676
2008-08-01,98.1111
2008-09-01,93.7895
2008-10-01,94.7219
2008-11-01,93.4715
2008-12-01,90.8357
2009-01-01,88.57
2009-02-01,88.031
2009-03-01,86.6528
2009-04-01,85.9344
2009-05-01,85.0665
2009-06-01,84.7459
2009-07-01,85.7027
2009-08-01,86.6426
2009-09-01,87.4063
2009-10-01,87.6419
2009-11-01,88.0221
2009-12-01,88.3793
2010-01-01,89.3426
2010-02-01,89.6779
2010-03-01,90.2928
2010-04-01,90.5991
2010-05-01,91.823
2010-06-01,91.9928
2010-07-01,92.3421
2010-08-01,92.6805
2010-09-01,92.9537
2010-10-01,92.6903
2010-11-01,92.7709
2010-12-01,93.6787
2011-01-01,93.4814
2011-02-01,93.1102
2011-03-01,94.0788
2011-04-01,93.7749
2011-05-01,93.888
2011-06-01,94.172
2011-07-01,94.636
2011-08-01,95.2749
2011-09-01,95.1961
2011-10-01,95.8568
2011-11-01,95.8485
2011-12-01,96.3571
2012-01-01,96.9318
2012-02-01,97.2435
2012-03-01,96.74
2012-04-01,97.4359
2012-05-01,97.6609
2012-06-01,97.6663
2012-07-01,97.8713
2012-08-01,97.4525
2012-09-01,97.381
2012-10-01,97.7193
2012-11-01,98.0777
2012-12-01,98.3101
2013-01-01,98.3342
2013-02-01,98.7941
2013-03-01,99.1921
2013-04-01,99.1065
2013-05-01,99.1839
2013-06-01,99.3897
2013-07-01,99.0814
2013-08-01,99.6543
2013-09-01,100.161
2013-10-01,100.082
2013-11-01,100.3158
2013-12-01,100.5175
2014-01-01,100.1599
2014-02-01,100.9168
2014-03-01,101.8942
2014-04-01,101.9928
2014-05-01,102.3836
2014-06-01,102.735
2014-07-01,102.9632
2014-08-01,102.7688
2014-09-01,103.0641
2014-10-01,103.0764
2014-11-01,103.7126
2014-12-01,103.7044
2015-01-01,102.8905
2015-02-01,102.2335
2015-03-01,101.8914
2015-04-01,101.3355
2015-05-01,100.8883
2015-06-01,100.571
2015-07-01,101.2228
2015-08-01,101.0367
2015-09-01,100.7547
2015-10-01,100.2675
2015-11-01,99.5298
2015-12-01,99.0417
2016-01-01,99.5607
